iter	MultiClass
146	0.7256636003
147	0.7255507467
148	0.7254525606
149	0.7252671535
150	0.7249287634
151	0.7247405398
152	0.724678152
153	0.7243905056
154	0.7242276545
155	0.7240649437
156	0.7239600551
157	0.7238521011
158	0.7236756975
159	0.7234900114
160	0.7233196932
161	0.7231885752
162	0.7230802914
163	0.7230083515
164	0.7229132181
165	0.7228293404
166	0.7227184825
167	0.7226103938
168	0.7224762751
169	0.7222552413
170	0.7220551712
171	0.7218328439
172	0.7217441
173	0.7216306378
174	0.7212863941
175	0.7211510919
176	0.7210098059
177	0.7209158367
178	0.7207364702
179	0.7206204826
180	0.7204588514
181	0.7202730266
182	0.7200944031
183	0.7199529991
184	0.7197588159
185	0.7196229423
186	0.7195399003
187	0.7193196904
188	0.7191844751
189	0.719067216
190	0.7189330088
191	0.7187827027
192	0.7186996628
193	0.7185636843
194	0.7184431146
195	0.7183718997
196	0.7182592414
197	0.7179083435
198	0.7177167597
199	0.7174995028
200	0.7174046772
201	0.7172186576
202	0.7171210076
203	0.7170347826
204	0.7169151252
205	0.7167819489
206	0.7166697009
207	0.7165987239
208	0.7164623762
209	0.7162971384
210	0.7161978295
211	0.7159824314
212	0.715858126
213	0.7157755401
214	0.7156354133
215	0.7154839521
216	0.7153760332
217	0.7153099107
218	0.7152288693
219	0.7150842644
220	0.7150060339
221	0.7148259643
222	0.7147444738
223	0.7143008875
224	0.7141258448
225	0.7138797909
226	0.7136973469
227	0.7133968273
228	0.7133054595
229	0.713156009
230	0.7130163291
231	0.7129060115
232	0.7126970839
233	0.7126058769
234	0.7125350478
235	0.7124724879
236	0.7122960862
237	0.7121505581
238	0.7119811641
239	0.711905751
240	0.7118501373
241	0.7117454534
242	0.7117022538
243	0.7116377673
244	0.7115682517
245	0.7112060864
246	0.7111201678
247	0.7109576126
248	0.7108769279
249	0.7108087962
250	0.7107146247
251	0.7105651828
252	0.7104776424
253	0.7104130589
254	0.7102999362
255	0.7101862786
256	0.7101140219
257	0.7098904532
258	0.7098067394
259	0.7097152158
260	0.7096300481
261	0.7094674356
262	0.7093185957
263	0.7090484429
264	0.7089616509
265	0.7086821737
266	0.7086372994
267	0.7085319253
268	0.7083997351
269	0.7082672148
270	0.7081182412
271	0.7080734688
272	0.7078699108
273	0.7078209625
274	0.7077029386
275	0.7074932186
276	0.7074398833
277	0.7073463216
278	0.7072258296
279	0.7070936584
280	0.7069562102
281	0.7068655754
282	0.7068290647
283	0.7066594866
284	0.7064188409
285	0.7063277515
286	0.7062118946
287	0.7060884997
288	0.7059812104
289	0.7058937244
290	0.7058227195
291	0.7057475815
292	0.7056831287
293	0.7056074245
294	0.7054953733
295	0.705412637
296	0.7053550803
297	0.7053073456
298	0.7052466488
299	0.705115421
300	0.7050108978
301	0.704951709
302	0.7048277319
303	0.7047595351
304	0.7045714064
305	0.7044273472
306	0.7043496017
307	0.704232177
308	0.7040214578
309	0.7039647987
310	0.7038731274
311	0.7037584525
312	0.7037099539
313	0.7036227283
314	0.7034833957
315	0.7032783171
316	0.7032011252
317	0.7030532929
318	0.702994202
319	0.7029103391
320	0.7028610058
321	0.7028236399
322	0.7026973904
323	0.7026009107
324	0.7025363315
325	0.7024398435
326	0.7023790845
327	0.7023115674
328	0.7022405198
329	0.7021784317
330	0.7020796313
331	0.7020174242
332	0.7019097101
333	0.7018433944
334	0.701795217
335	0.7017164813
336	0.7016575084
337	0.7015877374
338	0.7015183859
339	0.7014357678
340	0.7013744455
341	0.7012894013
342	0.7012039395
343	0.7011164562
344	0.7010519977
345	0.7009552442
346	0.7008898424
347	0.7007932012
348	0.700708345
349	0.7005589158
350	0.7004506125
351	0.7003566413
352	0.700263805
353	0.70020309
354	0.7001379208
355	0.6999993707
356	0.6999128587
357	0.6998686824
358	0.6998340817
359	0.6997394855
360	0.6996784219
361	0.6996424447
362	0.699581181
363	0.6995303974
364	0.6994658489
365	0.6993714172
366	0.6993146151
367	0.6992439372
368	0.6991386622
369	0.6990908865
370	0.6990247359
371	0.6989577838
372	0.69881023
373	0.6987136793
374	0.6986327484
375	0.6985133053
376	0.6984231349
377	0.6983709952
378	0.6982667899
379	0.6982184226
380	0.6981328128
381	0.698063741
382	0.6979617237
383	0.6978921465
384	0.6977867531
385	0.6976797609
386	0.6975507886
387	0.6974828342
388	0.6974275668
389	0.6973252255
390	0.6972620342
391	0.6971538695
392	0.697094626
393	0.6970588531
394	0.6969653331
395	0.696870739
396	0.6967965743
397	0.6967256069
398	0.6966742384
399	0.6965830769
400	0.6964920841
401	0.6964091722
402	0.6963382786
403	0.6962751436
404	0.6961758327
405	0.696109389
406	0.696035916
407	0.6959864142
408	0.6958701929
409	0.6958311608
410	0.695790989
411	0.6956775569
412	0.6956150436
413	0.6955288428
414	0.6954501985
415	0.6953826707
416	0.69532889
417	0.6952555362
418	0.6951723627
419	0.6950802371
420	0.6950289903
421	0.6949680018
422	0.6948880393
423	0.694810645
424	0.6947560795
425	0.6946571918
426	0.6945827219
427	0.6945085894
428	0.6944417522
429	0.694389208
430	0.69435136
431	0.6942653635
432	0.6941779329
433	0.694121366
434	0.6940647103
435	0.6940234676
436	0.6939602625
437	0.6939045163
438	0.6938573488
439	0.6937847738
440	0.6936862761
441	0.6936272715
442	0.6935482312
443	0.6935088709
444	0.6934410829
445	0.6933699901
446	0.6932858005
447	0.693232367
448	0.6931387363
449	0.6931035582
450	0.6930559197
451	0.6929686489
452	0.6928994448
453	0.6928030596
454	0.6927290819
455	0.6926778368
456	0.6926117808
457	0.6925373893
458	0.6924605814
459	0.6923260685
460	0.6922150294
461	0.6921558233
462	0.6921023014
463	0.692049697
464	0.6919929961
465	0.6919579501
466	0.6918637259
467	0.6917835362
468	0.6917115745
469	0.6916569001
470	0.691600524
471	0.6915564147
472	0.6914636499
473	0.6913677332
474	0.6913127449
475	0.691264152
476	0.6911877834
477	0.6910868645
478	0.6910227432
479	0.6909685891
480	0.6909019064
481	0.6908333914
482	0.6907539531
483	0.6907006181
484	0.6906607243
485	0.6906295565
486	0.6905350188
487	0.690401469
488	0.6903379771
489	0.6902720108
490	0.6902224842
491	0.6901854005
492	0.6901033098
493	0.690045492
494	0.6899556439
495	0.6898921018
496	0.6898354409
497	0.6897917498
498	0.6897322559
499	0.6896252704
500	0.6895830011
501	0.6895033879
502	0.6894261273
503	0.6893616822
504	0.6892923103
505	0.6892093791
506	0.6891671382
507	0.6891071389
508	0.6889861047
509	0.6889079979
510	0.6888247353
511	0.6887368644
512	0.6886649687
513	0.6886037686
514	0.6885542609
515	0.6884248965
516	0.6883501191
517	0.6882658953
518	0.6882128858
519	0.688167626
520	0.688107014
521	0.6880352233
522	0.6879809321
523	0.6879136842
524	0.6878205078
525	0.6877437638
526	0.6876983415
527	0.6876615106
528	0.6876039633
529	0.6875516346
530	0.6875006453
531	0.687434784
532	0.6874008085
533	0.6872857256
534	0.6871629518
535	0.6870453287
536	0.6869973336
537	0.6869654112
538	0.6868936134
539	0.6867992164
540	0.6866998399
541	0.6866002774
542	0.6865244549
543	0.6865046398
544	0.6864311508
545	0.6863903906
546	0.6863380128
547	0.6862689041
548	0.6861416062
549	0.6861090821
550	0.6860010796
551	0.6859271976
552	0.6859024505
553	0.6858066252
554	0.6856909814
555	0.68566041
556	0.6856063921
557	0.6855306265
558	0.685463763
559	0.6853820496
560	0.6853326098
561	0.6852851607
562	0.6852268175
563	0.6851945998
564	0.6851206203
565	0.6850799406
566	0.6850292539
567	0.6849573599
568	0.6849201908
569	0.6848711292
570	0.6848143712
571	0.6847608233
572	0.684706035
573	0.6846429966
574	0.6845864475
575	0.6845308061
576	0.6844870145
577	0.6843963944
578	0.6843279551
579	0.6842548863
580	0.6841326902
581	0.6840559017
582	0.6840085255
583	0.6839470394
584	0.6838959499
585	0.6838203149
586	0.6837927012
587	0.6837256
588	0.6836996284
589	0.6836509635
590	0.6836079348
591	0.6835696445
592	0.6834939268
593	0.6834568462
594	0.6834071506
595	0.6833403295
596	0.6833032063
597	0.6832463898
598	0.6831493332
599	0.6830349957
600	0.682988322
601	0.6829360912
602	0.6828839149
603	0.6828527059
604	0.6827939187
605	0.6827468149
606	0.6827032368
607	0.6826569685
608	0.6825635491
609	0.682489398
610	0.682432717
611	0.6823785227
612	0.6823385891
613	0.6822889137
614	0.6822331709
615	0.6821171448
616	0.6820634345
617	0.6820181884
618	0.6819880771
619	0.6819316569
620	0.6818694631
621	0.6818091862
622	0.6817620366
623	0.6817068893
624	0.6815640248
625	0.681514481
626	0.6814302879
627	0.6813925202
628	0.6813430912
629	0.6812860139
630	0.681212152
631	0.6811435293
632	0.6811053258
633	0.6810348246
634	0.6809795832
635	0.6809471113
636	0.6808934418
637	0.6808354593
638	0.6807940277
639	0.6807400222
640	0.6806946398
641	0.6806032367
642	0.6805555932
643	0.6804957397
644	0.6804270965
645	0.680369298
646	0.6803342451
647	0.6802736624
648	0.6802135615
649	0.6801635407
650	0.6800974449
651	0.6800383854
652	0.6799678073
653	0.6799322692
654	0.6798866566
655	0.6798403119
656	0.6798224896
657	0.6797359192
658	0.679661347
659	0.6796268921
660	0.6795934047
661	0.6795281427
662	0.6794649507
663	0.679425191
664	0.6793760066
665	0.6792827646
666	0.6792587375
667	0.6791857563
668	0.6791468757
669	0.6790956171
670	0.6790147096
671	0.6789198036
672	0.6788869821
673	0.6788157002
674	0.6787708419
675	0.6786754164
676	0.6786279763
677	0.6785899824
678	0.678522385
679	0.6784872985
680	0.6784487832
681	0.6783891305
682	0.6783416693
683	0.678291477
684	0.6782228235
685	0.6780991157
686	0.6780237683
687	0.677995734
688	0.6779444954
689	0.6778650106
690	0.6777930122
691	0.6777690742
692	0.677721899
693	0.6776806408
694	0.6776077301
695	0.6775714519
696	0.677529755
697	0.6774899232
698	0.6774192822
699	0.6773605933
700	0.6773263642
701	0.6772935466
702	0.6772390165
703	0.6771573067
704	0.6771113653
705	0.6770820868
706	0.6770611029
707	0.6770215799
708	0.6769869215
709	0.6769288508
710	0.6768761043
711	0.6767952427
712	0.6767528149
713	0.6766740747
714	0.6766139415
715	0.6765834714
716	0.6765114196
717	0.6764307351
718	0.6763904162
719	0.6763498992
720	0.6763048504
721	0.6762207523
722	0.6761737453
723	0.6761363384
724	0.6760766515
725	0.675981557
726	0.6759421734
727	0.6758767224
728	0.6758357102
729	0.6757530463
730	0.6757208277
731	0.6756668155
732	0.6756028204
733	0.675537259
734	0.6754888787
735	0.6754404142
736	0.6754147053
737	0.6753895594
738	0.6753440228
739	0.675312247
740	0.6752802941
741	0.6752138841
742	0.6751700559
743	0.6751243595
744	0.6750926717
745	0.6750127999
746	0.6749839147
747	0.6749061499
748	0.6748493373
749	0.6748090023
750	0.6747523996
751	0.674693967
752	0.6746404357
753	0.6745837191
754	0.6745519169
755	0.6745096636
756	0.6744549858
757	0.6744112003
758	0.6743729106
759	0.6743504698
760	0.6743163679
761	0.6742439056
762	0.6741464617
763	0.6740997014
764	0.6740729192
765	0.6740064491
766	0.6739662285
767	0.6739052575
768	0.6738501709
769	0.6737703472
770	0.6737017403
771	0.6736570134
772	0.6735973183
773	0.6735398495
774	0.673510593
775	0.6734337751
776	0.6733873418
777	0.673354949
778	0.6733059527
779	0.6732449437
780	0.6732143058
781	0.6731394646
782	0.6731154874
783	0.67307641
784	0.6730498913
785	0.6730139571
786	0.6729786567
787	0.6729396403
788	0.6728963939
789	0.6728468523
790	0.6727798621
791	0.6727454833
792	0.6727103065
793	0.6726693937
794	0.6726252489
795	0.6725903965
796	0.6725495885
797	0.6724795647
798	0.6724404629
799	0.6724161695
800	0.6723749918
801	0.6723225651
802	0.6722842313
803	0.6722490039
804	0.6722020009
805	0.6721644647
806	0.672126999
807	0.6720946504
808	0.6720289312
809	0.6719849431
810	0.6719454045
811	0.6719266489
812	0.6718764896
813	0.6717942348
814	0.671759916
815	0.6717124523
816	0.6716753191
817	0.6716230326
818	0.6715910933
819	0.6715512213
820	0.6714893052
821	0.6714390321
822	0.6714152166
823	0.6713346176
824	0.6712984882
825	0.6711835149
826	0.6711045337
827	0.6710587502
828	0.6709986199
829	0.6709402954
830	0.6709159065
831	0.6708245578
832	0.6707777613
833	0.6707544209
834	0.6706631411
835	0.6706179434
836	0.6705670044
837	0.6705154708
838	0.6704891002
839	0.6704252856
840	0.6703769425
841	0.67035187
842	0.67030271
843	0.6702815145
844	0.6702332901
845	0.6701664205
846	0.6701015176
847	0.6700742049
848	0.6700317662
849	0.6699822584
850	0.669947601
851	0.66988107
852	0.6698441947
853	0.6697992291
854	0.6697522198
855	0.6696662023
856	0.6695526333
857	0.6695114801
858	0.6694554329
859	0.6694155011
860	0.6693826327
861	0.6693479369
862	0.6692661487
863	0.6692491806
864	0.6692126833
865	0.6691650084
866	0.6691249263
867	0.6691009941
868	0.6690630716
869	0.6690113782
870	0.6689955018
871	0.6689835062
872	0.6689367369
873	0.6688817785
874	0.6688482606
875	0.6688081428
876	0.6687686506
877	0.6686960812
878	0.6686770925
879	0.6686460257
880	0.6685746373
881	0.6685014109
882	0.6684562748
883	0.668386111
884	0.6683534979
885	0.668305392
886	0.6682367803
887	0.6681676863
888	0.6681103181
889	0.6680809135
890	0.6680540518
891	0.6680347972
892	0.6680081448
893	0.6679482696
894	0.6678994351
895	0.6678543503
896	0.6677864615
897	0.6677621877
898	0.6677203525
899	0.6676870995
900	0.6676635597
901	0.6676274347
902	0.6675889011
903	0.6675429997
904	0.6675055151
905	0.6674813512
906	0.6674532977
907	0.6674085822
908	0.6673725524
909	0.6673204503
910	0.667257242
911	0.6672031977
912	0.6671659966
913	0.6671023253
914	0.6670427235
915	0.6670073214
916	0.6669569465
917	0.6669040056
918	0.666857489
919	0.6667572127
920	0.6667242075
921	0.6666721294
922	0.6666173118
923	0.6665970014
924	0.6665544378
925	0.6665253225
926	0.6664974839
927	0.6664651296
928	0.6664093157
929	0.6663823355
930	0.6663207515
931	0.6662808236
932	0.6662511058
933	0.6662264069
934	0.6661847549
935	0.6661613417
936	0.6661020356
937	0.6660391853
938	0.6659949231
939	0.6659638953
940	0.6659121642
941	0.6658809412
942	0.6658130743
943	0.6657904619
944	0.6657460284
945	0.6657133255
946	0.6656699697
947	0.6656429175
948	0.6655387411
949	0.6654973527
950	0.6654470249
951	0.6653934009
952	0.6653016326
953	0.6652863905
954	0.6652264839
955	0.6651697742
956	0.6651174561
957	0.6650874972
958	0.665071651
959	0.6650077133
960	0.6649297542
961	0.6648440414
962	0.6648183551
963	0.664751531
964	0.6647245649
965	0.6646831527
966	0.664649445
967	0.6646152496
968	0.6645653585
969	0.6645074598
970	0.6644572164
971	0.6644101632
972	0.6643502791
973	0.6643007699
974	0.6642844779
975	0.6642368444
976	0.6641720116
977	0.6641452148
978	0.6641126075
979	0.6640681696
980	0.6640239971
981	0.6639503998
982	0.6638905671
983	0.6638503356
984	0.663804062
985	0.6637727376
986	0.6637442007
987	0.6637288441
988	0.6636853391
989	0.6636441712
990	0.6636112634
991	0.6635716151
992	0.663547379
993	0.663511574
994	0.6634742306
995	0.6634212153
996	0.6633563622
997	0.6633096761
998	0.6632589778
999	0.6632117688
