iter	Passed	Remaining
407	5670	8227
408	5682	8210
409	5693	8193
410	5713	8187
411	5725	8172
412	5739	8157
413	5753	8143
414	5767	8129
415	5783	8118
416	5803	8113
417	5828	8114
418	5858	8123
419	5880	8121
420	5897	8110
421	5913	8099
422	5927	8085
423	5941	8070
424	5955	8057
425	5969	8043
426	5991	8040
427	6006	8027
428	6021	8014
429	6036	8001
430	6049	7986
431	6063	7971
432	6077	7957
433	6090	7942
434	6103	7927
435	6118	7914
436	6132	7900
437	6145	7885
438	6159	7870
439	6172	7856
440	6186	7841
441	6201	7829
442	6218	7819
443	6234	7806
444	6250	7795
445	6265	7782
446	6279	7769
447	6293	7754
448	6307	7740
449	6323	7728
450	6339	7717
451	6354	7703
452	6368	7690
453	6385	7679
454	6399	7665
455	6413	7651
456	6430	7640
457	6446	7628
458	6460	7615
459	6478	7605
460	6495	7594
461	6510	7581
462	6526	7569
463	6543	7558
464	6557	7544
465	6572	7531
466	6587	7518
467	6609	7513
468	6624	7500
469	6640	7488
470	6656	7476
471	6668	7460
472	6681	7444
473	6694	7429
474	6709	7415
475	6722	7400
476	6737	7386
477	6751	7372
478	6763	7356
479	6775	7340
480	6788	7324
481	6800	7308
482	6813	7292
483	6825	7277
484	6838	7261
485	6862	7257
486	6877	7244
487	6889	7228
488	6902	7212
489	6914	7196
490	6927	7180
491	6938	7163
492	6950	7148
493	6960	7130
494	6972	7113
495	6983	7096
496	6994	7078
497	7005	7061
498	7017	7045
499	7029	7029
500	7049	7021
501	7069	7012
502	7082	6997
503	7095	6982
504	7109	6968
505	7122	6953
506	7133	6936
507	7145	6920
508	7157	6904
509	7170	6889
510	7182	6873
511	7196	6859
512	7211	6845
513	7227	6833
514	7241	6820
515	7258	6808
516	7271	6793
517	7283	6777
518	7296	6762
519	7308	6746
520	7320	6730
521	7332	6714
522	7348	6701
523	7368	6693
524	7382	6679
525	7396	6665
526	7407	6648
527	7417	6631
528	7431	6616
529	7448	6604
530	7462	6591
531	7474	6575
532	7486	6559
533	7497	6542
534	7509	6527
535	7522	6512
536	7534	6496
537	7546	6480
538	7559	6465
539	7572	6450
540	7585	6435
541	7597	6419
542	7609	6404
543	7621	6388
544	7635	6374
545	7647	6359
546	7659	6343
547	7673	6329
548	7686	6314
549	7699	6299
550	7715	6287
551	7727	6271
552	7740	6256
553	7753	6241
554	7766	6227
555	7778	6211
556	7792	6197
557	7805	6182
558	7817	6167
559	7834	6155
560	7847	6141
561	7861	6127
562	7876	6114
563	7891	6100
564	7905	6086
565	7920	6073
566	7934	6059
567	7949	6046
568	7963	6032
569	7977	6018
570	7991	6003
571	8005	5990
572	8019	5976
573	8036	5964
574	8050	5950
575	8074	5943
576	8093	5933
577	8108	5919
578	8122	5906
579	8137	5892
580	8152	5879
581	8169	5867
582	8183	5853
583	8197	5839
584	8214	5827
585	8228	5813
586	8241	5798
587	8255	5784
588	8268	5769
589	8284	5756
590	8298	5742
591	8314	5729
592	8329	5716
593	8344	5703
594	8359	5689
595	8374	5676
596	8390	5663
597	8405	5650
598	8421	5637
599	8437	5624
600	8453	5612
601	8469	5599
602	8486	5587
603	8499	5572
604	8514	5558
605	8528	5545
606	8556	5539
607	8570	5525
608	8587	5513
609	8602	5499
610	8616	5485
611	8631	5472
612	8645	5458
613	8661	5445
614	8675	5430
615	8699	5422
616	8713	5408
617	8726	5393
618	8739	5379
619	8754	5365
620	8769	5352
621	8784	5338
622	8800	5325
623	8815	5311
624	8831	5298
625	8846	5285
626	8861	5271
627	8876	5258
628	8889	5243
629	8904	5229
630	8918	5215
631	8931	5200
632	8944	5185
633	8958	5171
634	8971	5156
635	8985	5142
636	8999	5128
637	9013	5114
638	9026	5099
639	9040	5085
640	9055	5071
641	9069	5057
642	9082	5042
643	9095	5028
644	9109	5013
645	9125	5000
646	9138	4985
647	9155	4973
648	9168	4958
649	9181	4943
650	9195	4929
651	9208	4914
